epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.083,4.35824,5.27879,4.04245,0.00027,0.072,0.00021,4e-05,4.84258,5.17381,4.33718,0.000659004,0.000659004,0.000659004
2,94.0456,3.01303,3.48164,3.02553,0.01337,0.11733,0.00592,0.00165,3.08281,6.5192,5.24341,0.0013213,0.0013213,0.0013213
3,146.265,2.41356,2.2668,2.51622,0.26025,0.24,0.14573,0.05703,2.4482,4.71999,2.79831,0.00197919,0.00197919,0.00197919
4,200.571,2.10269,1.8349,2.27234,0.60705,0.56439,0.56222,0.23035,2.09612,2.07251,2.40478,0.0019802,0.0019802,0.0019802
5,239.732,1.91397,1.53421,2.11497,0.43824,0.40533,0.36075,0.1303,2.11905,2.18641,2.35551,0.0019736,0.0019736,0.0019736
6,278.85,1.7126,1.27766,1.9327,0.86433,0.62857,0.72895,0.31088,1.87644,1.56515,2.10376,0.001967,0.001967,0.001967
7,318.122,1.58276,1.15117,1.79303,0.89455,0.68267,0.77356,0.46194,1.55323,1.26842,1.87405,0.0019604,0.0019604,0.0019604
8,358.951,1.47819,1.02792,1.68521,0.90933,0.72205,0.79448,0.50237,1.36552,1.26619,1.74273,0.0019538,0.0019538,0.0019538
9,399.94,1.41312,0.96733,1.63946,0.94694,0.76,0.81793,0.53567,1.28933,1.01289,1.68453,0.0019472,0.0019472,0.0019472
10,438.148,1.33988,0.89587,1.57569,0.94096,0.72255,0.81163,0.51299,1.37835,1.08803,1.72263,0.0019406,0.0019406,0.0019406
11,477.081,1.27003,0.83665,1.52165,0.88943,0.77333,0.82518,0.55856,1.18737,0.97052,1.56024,0.001934,0.001934,0.001934
12,515.424,1.22983,0.82855,1.48324,0.9475,0.77001,0.83963,0.57876,1.17665,0.91745,1.55311,0.0019274,0.0019274,0.0019274
13,556.059,1.19178,0.79622,1.447,0.85794,0.70667,0.74115,0.4844,1.27715,1.27535,1.58095,0.0019208,0.0019208,0.0019208
14,594.385,1.13601,0.74554,1.39192,0.9199,0.70435,0.76196,0.51744,1.30271,1.141,1.58039,0.0019142,0.0019142,0.0019142
15,632.581,1.11679,0.7495,1.37903,0.93186,0.64267,0.75501,0.42506,1.56922,1.23224,1.75528,0.0019076,0.0019076,0.0019076
16,670.434,1.10045,0.72236,1.33821,0.92266,0.76,0.83562,0.59558,1.10254,0.88472,1.43406,0.001901,0.001901,0.001901
17,708.757,1.05946,0.69706,1.31907,0.92929,0.77096,0.84293,0.59804,1.11749,0.87017,1.42691,0.0018944,0.0018944,0.0018944
18,749.118,1.06676,0.6938,1.30343,0.9097,0.80594,0.84926,0.62474,1.02667,0.80172,1.36514,0.0018878,0.0018878,0.0018878
19,786.726,1.02833,0.6717,1.28658,0.96878,0.80533,0.84946,0.62633,0.99538,0.8119,1.35156,0.0018812,0.0018812,0.0018812
20,824.686,1.00945,0.67221,1.26458,0.93768,0.80246,0.86063,0.6184,1.04605,0.78974,1.35209,0.0018746,0.0018746,0.0018746
21,862.822,1.02527,0.66641,1.25981,0.96116,0.81333,0.86891,0.66113,0.95225,0.74407,1.28563,0.001868,0.001868,0.001868
22,900.588,0.99534,0.64719,1.24564,0.9534,0.808,0.8692,0.66418,0.912,0.68995,1.26008,0.0018614,0.0018614,0.0018614
23,940.609,0.99868,0.62928,1.23427,0.95689,0.77867,0.84672,0.62728,1.00962,0.81057,1.34081,0.0018548,0.0018548,0.0018548
24,980.556,1.0039,0.65206,1.2439,0.96725,0.808,0.86956,0.65623,0.94727,0.72741,1.28894,0.0018482,0.0018482,0.0018482
25,1020.32,0.93354,0.6108,1.21207,0.93313,0.80533,0.84813,0.61355,1.04395,0.80084,1.33016,0.0018416,0.0018416,0.0018416
26,1059.6,0.95993,0.60618,1.21173,0.92311,0.752,0.81702,0.60146,1.05666,0.89628,1.34129,0.001835,0.001835,0.001835
27,1097.9,0.9725,0.62305,1.19655,0.95351,0.82034,0.86357,0.63306,0.99685,0.75268,1.32098,0.0018284,0.0018284,0.0018284
28,1136.26,0.93534,0.60942,1.1969,0.95925,0.808,0.86512,0.65065,0.95937,0.71198,1.27055,0.0018218,0.0018218,0.0018218
29,1175.12,0.92736,0.59553,1.17647,0.95945,0.8202,0.8621,0.64183,1.03355,0.75865,1.27669,0.0018152,0.0018152,0.0018152
30,1213.05,0.92393,0.58816,1.16674,0.95713,0.84267,0.87164,0.68535,0.8845,0.70109,1.21774,0.0018086,0.0018086,0.0018086
31,1253.12,0.9201,0.59711,1.17002,0.96151,0.79928,0.84327,0.61424,1.05319,0.77937,1.33102,0.001802,0.001802,0.001802
32,1293.91,0.93228,0.59258,1.18068,0.95321,0.81491,0.86229,0.65673,0.95457,0.71718,1.24153,0.0017954,0.0017954,0.0017954
33,1333.64,0.89699,0.56415,1.15245,0.96249,0.82113,0.87173,0.69543,0.82705,0.66794,1.18269,0.0017888,0.0017888,0.0017888
34,1372.59,0.87819,0.56811,1.15111,0.96545,0.81976,0.87951,0.70362,0.83915,0.62783,1.19476,0.0017822,0.0017822,0.0017822
35,1410.99,0.91674,0.57003,1.15558,0.93226,0.832,0.87191,0.69101,0.87215,0.68318,1.21615,0.0017756,0.0017756,0.0017756
36,1452.86,0.8762,0.55615,1.14524,0.96428,0.81867,0.87324,0.67572,0.88799,0.69644,1.22408,0.001769,0.001769,0.001769
37,1492.68,0.85424,0.54399,1.13481,0.95552,0.81867,0.85894,0.67375,0.89991,0.68259,1.20994,0.0017624,0.0017624,0.0017624
38,1534.75,0.85093,0.54212,1.12776,0.96465,0.82933,0.87737,0.68338,0.87135,0.66413,1.19692,0.0017558,0.0017558,0.0017558
39,1572.92,0.86977,0.54163,1.14057,0.97364,0.82667,0.88178,0.70683,0.82642,0.63253,1.16176,0.0017492,0.0017492,0.0017492
40,1610.88,0.86331,0.54538,1.13151,0.94909,0.84508,0.88037,0.68195,0.85514,0.64432,1.1766,0.0017426,0.0017426,0.0017426
41,1648.39,0.83772,0.53437,1.10775,0.97149,0.81767,0.87565,0.70993,0.8118,0.6392,1.16953,0.001736,0.001736,0.001736
42,1686.21,0.84859,0.53369,1.10515,0.9685,0.84,0.87771,0.70331,0.79859,0.61351,1.14591,0.0017294,0.0017294,0.0017294
43,1723.12,0.8356,0.52891,1.11566,0.95567,0.84533,0.88539,0.71129,0.78551,0.58441,1.16255,0.0017228,0.0017228,0.0017228
44,1760.47,0.85522,0.53999,1.1156,0.97715,0.832,0.88066,0.70837,0.82135,0.60825,1.16644,0.0017162,0.0017162,0.0017162
45,1798.29,0.85434,0.54998,1.12692,0.96036,0.83995,0.88396,0.7291,0.75652,0.57844,1.13829,0.0017096,0.0017096,0.0017096
46,1835.57,0.81748,0.51243,1.11189,0.98033,0.82667,0.88693,0.72076,0.77676,0.60605,1.15662,0.001703,0.001703,0.001703
47,1873.58,0.82939,0.52108,1.10946,0.96365,0.83467,0.87244,0.69846,0.87185,0.6458,1.19725,0.0016964,0.0016964,0.0016964
48,1911.1,0.84523,0.53762,1.11869,0.97346,0.816,0.86994,0.67669,0.88377,0.67827,1.20344,0.0016898,0.0016898,0.0016898
49,1948.78,0.82298,0.52045,1.09343,0.97145,0.84,0.89195,0.70429,0.85503,0.62985,1.18759,0.0016832,0.0016832,0.0016832
50,1987.46,0.8096,0.52294,1.09393,0.97398,0.82133,0.86452,0.70192,0.79521,0.64283,1.14954,0.0016766,0.0016766,0.0016766
51,2024.76,0.81216,0.52012,1.09402,0.95836,0.85935,0.88483,0.72064,0.77616,0.56823,1.12563,0.00167,0.00167,0.00167
52,2062.35,0.81621,0.51076,1.09458,0.97389,0.83733,0.88532,0.71623,0.78611,0.57799,1.13572,0.0016634,0.0016634,0.0016634
53,2099.59,0.79352,0.50705,1.08695,0.95645,0.84533,0.88009,0.70905,0.79117,0.58452,1.15389,0.0016568,0.0016568,0.0016568
54,2137.14,0.80423,0.50958,1.08642,0.96584,0.82929,0.88022,0.64909,0.97578,0.64624,1.24467,0.0016502,0.0016502,0.0016502
55,2176.16,0.80916,0.50856,1.08879,0.96489,0.83733,0.88295,0.7154,0.79104,0.59983,1.1521,0.0016436,0.0016436,0.0016436
56,2213.27,0.78203,0.48857,1.07589,0.98437,0.83997,0.89498,0.69844,0.85291,0.59984,1.17827,0.001637,0.001637,0.001637
57,2251.2,0.80564,0.51254,1.08738,0.97531,0.84288,0.88772,0.71109,0.78666,0.55913,1.14398,0.0016304,0.0016304,0.0016304
58,2288.97,0.7758,0.49373,1.07447,0.97244,0.84697,0.89198,0.73498,0.77297,0.59074,1.13496,0.0016238,0.0016238,0.0016238
59,2327.39,0.77395,0.48469,1.0608,0.96926,0.8408,0.87465,0.68807,0.86091,0.64676,1.19264,0.0016172,0.0016172,0.0016172
60,2366.22,0.78398,0.49104,1.07707,0.95177,0.84207,0.88541,0.67075,0.92478,0.6318,1.27042,0.0016106,0.0016106,0.0016106
61,2403.75,0.7657,0.48736,1.05942,0.96197,0.84267,0.88477,0.70756,0.80202,0.58469,1.15956,0.001604,0.001604,0.001604
62,2441.61,0.7816,0.48899,1.06638,0.97901,0.848,0.89517,0.71075,0.80823,0.58314,1.18655,0.0015974,0.0015974,0.0015974
63,2479.66,0.74479,0.46495,1.04999,0.97132,0.84533,0.89644,0.73648,0.75381,0.53865,1.11491,0.0015908,0.0015908,0.0015908
64,2517.54,0.76802,0.47281,1.06318,0.96229,0.848,0.88934,0.71779,0.80701,0.56402,1.14666,0.0015842,0.0015842,0.0015842
65,2556.67,0.75499,0.47043,1.04734,0.94295,0.84267,0.89001,0.72466,0.77709,0.59182,1.13268,0.0015776,0.0015776,0.0015776
