epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6452,4.35824,5.27879,4.04245,0.00027,0.072,0.00016,4e-05,4.84155,5.17318,4.33719,0.000659004,0.000659004,0.000659004
2,106.842,3.01303,3.48164,3.02553,0.01326,0.11733,0.00596,0.00166,3.08485,6.52271,5.25071,0.0013213,0.0013213,0.0013213
3,151.953,2.41356,2.2668,2.51622,0.26507,0.24238,0.14682,0.05836,2.44422,4.72283,2.79291,0.00197919,0.00197919,0.00197919
4,197.342,2.10269,1.8349,2.27234,0.60531,0.56439,0.5621,0.23021,2.09564,2.07439,2.40559,0.0019802,0.0019802,0.0019802
5,243.507,1.91397,1.53421,2.11497,0.43572,0.40533,0.36092,0.12955,2.12251,2.18961,2.35909,0.0019736,0.0019736,0.0019736
6,289.444,1.7126,1.27766,1.9327,0.86433,0.62857,0.7291,0.31076,1.87584,1.56515,2.104,0.001967,0.001967,0.001967
7,335.838,1.58276,1.15117,1.79303,0.90209,0.68267,0.77434,0.46216,1.55297,1.26684,1.8732,0.0019604,0.0019604,0.0019604
8,380.282,1.47819,1.02792,1.68521,0.90115,0.72934,0.7942,0.50217,1.36393,1.26744,1.74146,0.0019538,0.0019538,0.0019538
9,430.713,1.41312,0.96733,1.63946,0.94694,0.76,0.81799,0.53503,1.28939,1.01282,1.68417,0.0019472,0.0019472,0.0019472
10,476.298,1.33988,0.89587,1.57569,0.94096,0.72255,0.8116,0.51336,1.37857,1.09107,1.72275,0.0019406,0.0019406,0.0019406
11,520.775,1.27003,0.83665,1.52165,0.88852,0.77333,0.82513,0.55895,1.18594,0.9704,1.55822,0.001934,0.001934,0.001934
12,563.632,1.22983,0.82855,1.48324,0.9475,0.77001,0.83948,0.57864,1.17524,0.91658,1.55111,0.0019274,0.0019274,0.0019274
13,603.772,1.19178,0.79622,1.447,0.85937,0.70667,0.74096,0.48364,1.27709,1.27628,1.57927,0.0019208,0.0019208,0.0019208
14,643.947,1.13601,0.74554,1.39192,0.92328,0.70601,0.76209,0.51731,1.30006,1.13867,1.57705,0.0019142,0.0019142,0.0019142
15,685.629,1.11679,0.7495,1.37903,0.93186,0.64267,0.75501,0.4255,1.56711,1.23014,1.75313,0.0019076,0.0019076,0.0019076
16,726.894,1.10045,0.72236,1.33821,0.92266,0.76,0.83528,0.59572,1.10084,0.8859,1.43251,0.001901,0.001901,0.001901
17,767.251,1.05946,0.69706,1.31907,0.92929,0.77096,0.84291,0.59777,1.11621,0.86642,1.42359,0.0018944,0.0018944,0.0018944
18,809.052,1.06676,0.6938,1.30343,0.90902,0.80533,0.84882,0.62481,1.02714,0.80257,1.36401,0.0018878,0.0018878,0.0018878
19,849.874,1.02833,0.6717,1.28658,0.96878,0.80533,0.84955,0.62735,0.99339,0.81159,1.34949,0.0018812,0.0018812,0.0018812
20,891.27,1.00945,0.67221,1.26458,0.93425,0.80267,0.86105,0.61839,1.0452,0.78777,1.34963,0.0018746,0.0018746,0.0018746
21,934.209,1.02527,0.66641,1.25981,0.96116,0.81333,0.86909,0.66144,0.94938,0.74367,1.28249,0.001868,0.001868,0.001868
22,974.924,0.99534,0.64719,1.24564,0.95041,0.808,0.86902,0.66434,0.91123,0.68777,1.25849,0.0018614,0.0018614,0.0018614
23,1014.82,0.99868,0.62928,1.23427,0.95689,0.77867,0.84669,0.62734,1.00501,0.80782,1.33492,0.0018548,0.0018548,0.0018548
24,1055.54,1.0039,0.65206,1.2439,0.96815,0.81066,0.86973,0.65667,0.94433,0.7251,1.28605,0.0018482,0.0018482,0.0018482
25,1095.38,0.93354,0.6108,1.21207,0.93313,0.80533,0.84813,0.6137,1.04102,0.79744,1.32715,0.0018416,0.0018416,0.0018416
26,1136.49,0.95993,0.60618,1.21173,0.92311,0.752,0.81717,0.60156,1.05368,0.89384,1.33764,0.001835,0.001835,0.001835
27,1179.67,0.9725,0.62305,1.19655,0.95351,0.82034,0.86334,0.63257,0.99575,0.75228,1.31882,0.0018284,0.0018284,0.0018284
28,1220.99,0.93534,0.60942,1.1969,0.95925,0.808,0.86418,0.65086,0.95773,0.70946,1.26909,0.0018218,0.0018218,0.0018218
29,1262.96,0.92736,0.59553,1.17647,0.9564,0.81901,0.86201,0.64138,1.03325,0.75725,1.27548,0.0018152,0.0018152,0.0018152
30,1306.16,0.92393,0.58816,1.16674,0.95642,0.84267,0.87169,0.68562,0.88028,0.69694,1.21377,0.0018086,0.0018086,0.0018086
31,1345.95,0.9201,0.59711,1.17002,0.96151,0.79928,0.84318,0.61478,1.05396,0.78097,1.33109,0.001802,0.001802,0.001802
32,1386.73,0.93228,0.59258,1.18068,0.95321,0.81491,0.8622,0.65673,0.95497,0.71786,1.24093,0.0017954,0.0017954,0.0017954
33,1426.6,0.89699,0.56415,1.15245,0.95978,0.824,0.87168,0.69545,0.82554,0.66672,1.18102,0.0017888,0.0017888,0.0017888
34,1466.25,0.87819,0.56811,1.15111,0.96545,0.81976,0.87974,0.70425,0.83833,0.62942,1.1933,0.0017822,0.0017822,0.0017822
