epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3359,3.99927,4.6454,3.9073,0.00053,0.06933,0.00032,7e-05,4.8253,4.44378,4.36969,0.000659004,0.000659004,0.000659004
2,66.6216,2.51233,2.6125,2.69398,0.10524,0.056,0.03877,0.01414,2.42992,3.54101,2.88855,0.0013213,0.0013213,0.0013213
3,92.8741,2.08939,1.87773,2.36374,0.36504,0.42667,0.32708,0.18409,1.98134,2.82326,2.46009,0.00197919,0.00197919,0.00197919
4,119.096,1.846,1.51686,2.10495,0.81694,0.54667,0.64899,0.31971,1.89721,1.51595,2.2668,0.0019802,0.0019802,0.0019802
5,145.915,1.66458,1.276,1.92549,0.85035,0.59467,0.71205,0.33081,1.82368,1.4699,2.16403,0.0019736,0.0019736,0.0019736
6,173.838,1.62439,1.16867,1.84562,0.86913,0.69065,0.77203,0.33645,1.87319,1.38552,2.13903,0.001967,0.001967,0.001967
7,200.513,1.49729,1.03703,1.72402,0.8197,0.704,0.75536,0.46343,1.46629,1.25449,1.81893,0.0019604,0.0019604,0.0019604
8,226.825,1.38183,0.94469,1.60452,0.88354,0.74133,0.81273,0.48391,1.39969,1.19185,1.78619,0.0019538,0.0019538,0.0019538
9,253.08,1.32985,0.90533,1.59462,0.92033,0.74933,0.81528,0.54608,1.28211,1.02735,1.67237,0.0019472,0.0019472,0.0019472
10,280.4,1.27982,0.84774,1.5232,0.91892,0.78133,0.84051,0.5691,1.22132,0.93488,1.61289,0.0019406,0.0019406,0.0019406
11,307.363,1.20736,0.79471,1.4581,0.91996,0.784,0.84363,0.59994,1.11284,0.85196,1.497,0.001934,0.001934,0.001934
12,333.914,1.17238,0.77753,1.42778,0.93962,0.78845,0.83424,0.56068,1.22564,0.90927,1.54594,0.0019274,0.0019274,0.0019274
13,360.236,1.15075,0.74951,1.39168,0.93418,0.792,0.84663,0.60353,1.08843,0.87909,1.45576,0.0019208,0.0019208,0.0019208
14,387.965,1.11609,0.71108,1.36422,0.92112,0.80967,0.85936,0.62105,1.03745,0.7839,1.3957,0.0019142,0.0019142,0.0019142
15,415.708,1.09053,0.70219,1.34444,0.94752,0.776,0.83929,0.58896,1.12644,0.86744,1.43683,0.0019076,0.0019076,0.0019076
16,442.057,1.07219,0.68839,1.31754,0.95751,0.78133,0.85632,0.58996,1.17164,0.81103,1.49379,0.001901,0.001901,0.001901
17,468.663,1.04763,0.67699,1.30092,0.92883,0.80048,0.85648,0.63204,0.99846,0.79156,1.3448,0.0018944,0.0018944,0.0018944
18,495.156,1.01349,0.67247,1.27444,0.96285,0.808,0.85458,0.61576,1.06438,0.81362,1.36535,0.0018878,0.0018878,0.0018878
19,523.094,1.02089,0.65828,1.27475,0.94939,0.78667,0.85352,0.59931,1.13856,0.81304,1.42674,0.0018812,0.0018812,0.0018812
20,550.008,0.97318,0.62604,1.24762,0.94556,0.78735,0.8576,0.64717,0.96883,0.75329,1.32268,0.0018746,0.0018746,0.0018746
21,576.516,0.98511,0.63636,1.24781,0.90005,0.77867,0.83048,0.5957,1.10542,0.873,1.43658,0.001868,0.001868,0.001868
22,603.292,0.96082,0.61813,1.23386,0.95016,0.80533,0.85533,0.61411,1.05492,0.77644,1.3769,0.0018614,0.0018614,0.0018614
23,630.384,0.98509,0.61046,1.24779,0.93653,0.78696,0.85865,0.64242,0.97433,0.75974,1.34538,0.0018548,0.0018548,0.0018548
24,658.005,0.95654,0.61359,1.22141,0.97227,0.824,0.87296,0.66976,0.93007,0.71055,1.28438,0.0018482,0.0018482,0.0018482
25,685.382,0.92654,0.5844,1.21401,0.95079,0.808,0.87819,0.63953,1.00511,0.69934,1.33299,0.0018416,0.0018416,0.0018416
26,712.109,0.9241,0.57541,1.20661,0.92182,0.81749,0.86702,0.6716,0.87912,0.6919,1.25896,0.001835,0.001835,0.001835
27,738.854,0.8933,0.57812,1.15835,0.96221,0.816,0.86184,0.66588,0.91587,0.75344,1.26198,0.0018284,0.0018284,0.0018284
28,766.736,0.93258,0.5932,1.19877,0.94652,0.80239,0.86579,0.66042,0.89735,0.71234,1.27067,0.0018218,0.0018218,0.0018218
29,793.627,0.88323,0.56558,1.16019,0.94003,0.83593,0.8727,0.67418,0.91637,0.67554,1.24786,0.0018152,0.0018152,0.0018152
30,820.339,0.87588,0.55829,1.15194,0.94798,0.82607,0.88266,0.67677,0.94346,0.66979,1.2935,0.0018086,0.0018086,0.0018086
31,846.992,0.88878,0.54447,1.15216,0.94227,0.816,0.86481,0.61444,1.05899,0.7772,1.38618,0.001802,0.001802,0.001802
32,874.376,0.88115,0.56063,1.15688,0.94815,0.82667,0.87482,0.68817,0.8786,0.64758,1.22561,0.0017954,0.0017954,0.0017954
33,901.969,0.86382,0.54166,1.1451,0.94662,0.824,0.87415,0.68904,0.87373,0.71155,1.24734,0.0017888,0.0017888,0.0017888
34,928.847,0.85392,0.53218,1.14604,0.95038,0.81712,0.88293,0.6957,0.8901,0.64554,1.24603,0.0017822,0.0017822,0.0017822
35,955.701,0.87286,0.53397,1.14182,0.94092,0.84,0.8841,0.70252,0.84067,0.67817,1.20518,0.0017756,0.0017756,0.0017756
36,983.524,0.83776,0.51712,1.13399,0.96597,0.83257,0.87595,0.71323,0.80826,0.67355,1.18005,0.001769,0.001769,0.001769
37,1011.71,0.81626,0.51019,1.12732,0.97784,0.82933,0.89201,0.688,0.87634,0.63158,1.20622,0.0017624,0.0017624,0.0017624
38,1039,0.81332,0.50878,1.11931,0.94636,0.82667,0.87498,0.69086,0.85383,0.64612,1.22175,0.0017558,0.0017558,0.0017558
39,1065.71,0.82685,0.51317,1.12819,0.95807,0.83733,0.88988,0.70743,0.84234,0.60974,1.19227,0.0017492,0.0017492,0.0017492
40,1092.27,0.84599,0.52172,1.13117,0.96093,0.82933,0.88848,0.71221,0.81775,0.61259,1.17478,0.0017426,0.0017426,0.0017426
41,1120.73,0.83534,0.51141,1.10809,0.95241,0.85333,0.89571,0.68413,0.89285,0.62585,1.24875,0.001736,0.001736,0.001736
42,1147.9,0.78928,0.50411,1.08987,0.96313,0.83594,0.89071,0.69577,0.85533,0.59987,1.18926,0.0017294,0.0017294,0.0017294
43,1174.6,0.81246,0.48943,1.10699,0.96922,0.83965,0.8978,0.70247,0.83519,0.56691,1.19602,0.0017228,0.0017228,0.0017228
44,1201.23,0.78969,0.49436,1.09492,0.94643,0.82667,0.88159,0.70026,0.84481,0.65765,1.21215,0.0017162,0.0017162,0.0017162
45,1228.24,0.83512,0.51926,1.11696,0.95933,0.81779,0.87381,0.69916,0.82719,0.63329,1.16771,0.0017096,0.0017096,0.0017096
